date,open,high,low,close,volume,rsi_14,ema_12,ema_6,ema_26,ema_cross_signal_12_26,pred_proba,model_pred
2025-01-06 00:50:00,98373.0,98377.0,98197.0,98201.0,5.91324427,30.860534124629083,98399.8892793906,98358.34568368367,98372.10515133924,0,0.07,False
2025-01-06 01:00:00,98256.0,98321.0,98138.0,98154.0,3.24114636,33.82113821138212,98362.06015948436,98299.9612026312,98355.949214203,0,0.06,False
2025-01-06 01:10:00,98138.0,98138.0,97974.0,97974.0,8.34288896,24.006116207951067,98302.35859648677,98206.82943045086,98327.65667981759,-1,0.07,False
2025-01-06 01:20:00,97962.0,98116.0,97919.0,98100.0,3.25625501,31.79190751445087,98271.22650471957,98176.30673603632,98310.79322205333,0,0.03,False
2025-01-06 01:30:00,98122.0,98206.0,98108.0,98206.0,0.70229482,40.14705882352941,98261.19165783963,98184.79052574023,98303.03076116048,0,0.0,False
2025-01-06 01:40:00,98212.0,98242.0,98156.0,98238.0,13.20359275,42.066957787481805,98257.62371047969,98199.9932326716,98298.21366774119,0,0.06,False
2025-01-06 01:50:00,98239.0,98778.0,98237.0,98720.0,21.13804288,56.85636856368564,98328.75852425204,98348.56659476543,98329.45709976037,0,0.66,False
2025-01-06 02:00:00,98710.0,99252.0,98710.0,99182.0,35.95812233,65.6671012603216,98460.02644359789,98586.69042483246,98392.60842570405,1,0.69,False
2025-01-06 02:10:00,99178.0,99236.0,98650.0,98851.0,21.77088877,60.48839071257005,98520.17622150591,98662.2074463089,98426.56335713337,0,0.74,True
2025-01-06 02:20:00,98849.0,98849.0,98705.0,98714.0,1.93760097,54.14116687066504,98549.99526435116,98677.00531879207,98447.85496030867,0,0.22,False
2025-01-06 02:30:00,98694.0,99073.0,98670.0,99004.0,19.85224382,62.796116504854375,98619.84214675869,98770.43237056577,98489.0508891747,0,0.7,True
2025-01-06 02:40:00,98955.0,98985.0,98730.0,98937.0,17.817007020000002,59.37376139516449,98668.63566264196,98818.0231218327,98522.2323047914,0,0.7,True
2025-01-06 02:50:00,98916.0,98926.0,98774.0,98793.0,0.85457749,56.91489361702128,98687.76863762012,98810.87365845192,98542.28917110314,0,0.19,False
2025-01-06 03:00:00,98793.0,98998.0,98751.0,98938.0,0.81649386,60.161113145368,98726.26577029395,98847.1954703228,98571.60108435477,0,0.1,False
2025-01-06 03:10:00,98945.0,98979.0,98878.0,98972.0,0.62623691,64.92450638792103,98764.07103640257,98882.85390737341,98601.26026329145,0,0.03,False
2025-01-06 03:20:00,98954.0,99069.0,98866.0,99069.0,1.42300035,67.37561716672997,98810.98318464833,98936.03850526673,98635.90765119578,0,0.04,False
2025-01-06 03:30:00,99069.0,99180.0,99037.0,99180.0,18.06573716,73.5179407176287,98867.75500239473,99005.74178947623,98676.21078814425,0,0.11,False
2025-01-06 03:40:00,99179.0,99179.0,99020.0,99039.0,1.13847815,68.20473051570376,98894.10038664169,99015.24413534017,98703.08406309652,0,0.03,False
2025-01-06 03:50:00,99039.0,99052.0,98975.0,99019.0,2.00938947,66.30565583634176,98913.31571177374,99016.3172395287,98726.4852436079,0,0.03,False
2025-01-06 04:00:00,99031.0,99216.0,99031.0,99203.0,2.51973817,68.24196597353497,98957.88252534701,99069.65517109193,98761.78263297027,0,0.01,False
2025-01-06 04:10:00,99226.0,99393.0,99213.0,99370.0,7.4449425,63.94849785407725,99021.28521375517,99155.46797935138,98806.83577126877,0,0.04,False
2025-01-06 04:20:00,99392.0,99392.0,99219.0,99238.0,1.2459609,51.4,99054.62595010054,99179.04855667957,98838.7738622859,0,0.02,False
2025-01-06 04:30:00,99217.0,99234.0,99157.0,99169.0,1.17033157,59.14844649021864,99072.22195777738,99176.17754048541,98863.23505767214,0,0.02,False
2025-01-06 04:40:00,99159.0,99215.0,99159.0,99215.0,2.3757307,65.20947176684882,99094.18781042701,99187.2696717753,98889.29172006679,0,0.01,False
2025-01-06 04:50:00,99270.0,99445.0,99270.0,99427.0,4.10867875,63.47992351816443,99145.38968574593,99255.76405126808,98929.12196302481,0,0.01,False
2025-01-06 05:00:00,99427.0,99550.0,99359.0,99540.0,6.67513135,68.6687306501548,99206.09896486194,99336.97432233434,98974.37218798594,0,0.01,False
2025-01-06 05:10:00,99524.0,99544.0,99375.0,99455.0,0.45760955,71.27249357326478,99244.39143180626,99370.69594452452,99009.97424813513,0,0.05,False
2025-01-06 05:20:00,99497.0,99622.0,99483.0,99605.0,3.78730948,71.36450992953235,99299.86967306683,99437.63996037465,99054.05022975475,0,0.0,False
2025-01-06 05:30:00,99622.0,99777.0,99622.0,99690.0,8.16940535,72.27047146401985,99359.88972336423,99509.74282883904,99101.15762014328,0,0.04,False
2025-01-06 05:40:00,99697.0,99857.0,99611.0,99768.0,3.73534324,71.93973634651601,99422.67591976974,99583.53059202788,99150.55335198452,0,0.0,False
2025-01-06 05:50:00,99768.0,99768.0,99557.0,99575.0,2.12011557,61.791044776119406,99446.11039365131,99581.09328001991,99181.99384443011,0,0.02,False
2025-01-06 06:00:00,99575.0,99694.0,99497.0,99531.0,1.31164178,65.5893536121673,99459.17033308957,99566.78091429993,99207.8461522501,0,0.04,False
2025-01-06 06:10:00,99531.0,99577.0,99413.0,99423.0,3.29884467,62.12484993997599,99453.60566646041,99525.70065307137,99223.78347430566,0,0.0,False
2025-01-06 06:20:00,99456.0,99569.0,99455.0,99461.0,3.34381085,58.48684210526316,99454.74325623574,99507.21475219383,99241.35506880152,0,0.0,False
2025-01-06 06:30:00,99457.0,99662.0,99426.0,99649.0,1.55375019,59.0525632706035,99484.62890912256,99547.72482299559,99271.55098963104,0,0.0,False
2025-01-06 06:40:00,99669.0,99717.0,99582.0,99605.0,0.58624257,62.62904335856848,99503.14753848832,99564.08915928256,99296.25091632504,0,0.0,False
2025-01-06 06:50:00,99561.0,99561.0,99486.0,99486.0,1.50984209,60.5455755156354,99500.50945564397,99541.77797091613,99310.30640400466,0,0.01,False
2025-01-06 07:00:00,99488.0,99502.0,99276.0,99380.0,5.17916988,55.27831094049904,99481.96953939105,99495.55569351152,99315.4688925969,0,0.0,False
2025-01-06 07:10:00,99389.0,99421.0,99168.0,99245.0,10.27003875,43.876177658142666,99445.51268717705,99423.96835250824,99310.24897462675,0,0.1,False
2025-01-06 07:20:00,99215.0,99342.0,99203.0,99300.0,2.2589990600000003,41.596638655462186,99423.12611991903,99388.54882322016,99309.48979132107,0,0.01,False
2025-01-06 07:30:00,99326.0,99334.0,99243.0,99291.0,1.1625563,43.93491124260355,99402.79902454688,99360.67773087155,99308.12017714915,0,0.01,False
